"time","T0","T1","T2","T3","T4","T5","T6","T7","H0","H1","H2","H3","H4","H5","H6","H7","S0","S1","S2","S3","S4","S5","S6","S7","P","G","Ta","Wd","Ws","HT0","HT1","HT2","HT3","HT4","HT5","HT6","HT7","HRelH0","HRelH1","HRelH2","HRelH3","HRelH4","HRelH5","HRelH6","HRelH7","HI0","HI1","HI2","HI3","HI4","HI5","HI6","HI7","HCo2_0","HCo2_1","HCo2_2","HCo2_3","HCo2_4","HCo2_5","HCo2_6","HCo2_7"
2009-03-01 12:48:00,17.135668,15.3726,15.0588,17.5686,18.6667,16.7843,17.22548125,19.40393,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3618.70967741935,0.09869801,2.95552466666667,124.327913333333,7.68372966666667,17.2845,15.927,12.811,18.913,17.891,14.661,18.069,18.711,31.371,30.27,37.1815,29.3855,29.948,34.8715,29.264,30.225,90.65,102.45,67,67,55.2,106.4,181.3,118.25,1333.25,1332,1338.875,1333.25,1347.375,1339.5,1370.25,1323.5
2009-03-01 12:53:00,16.9412,15.3963575757576,15.0588,17.5584838709677,18.6667,16.7843,17.1360363636364,19.2941,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3685.51724137931,0.08898321,2.91178133333333,128.309466666667,6.40091366666667,17.2605,15.867,12.799,18.818,17.7955,14.625,18.057,18.5925,31.6795,30.5935,37.23,29.43,29.9745,34.9855,29.4555,30.3025,94.6,106.4,63.05,70.95,59.1,102.5,165.55,118.25,1332.625,1333.25,1338.875,1332.625,1335.75,1327.125,1358.5,1335.75
2009-03-01 12:58:00,16.9412,15.6054696969697,15.0588,17.4370903225806,18.65624,16.7985636363636,17.299028125,19.2366066666667,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3681.33333333333,0.0872450965517241,2.90402965517241,121.309786206896,7.41155137931035,17.4745,16.0105,12.799,18.723,17.7125,14.673,18.2235,18.485,31.5425,30.7435,37.23,29.492,30.072,35.0915,29.452,30.38,90.65,98.55,59.1,78.85,47.3,90.65,181.35,94.6,1332.625,1332.625,1338.25,1333.25,1346.75,1327.125,1346.75,1348
2009-03-01 13:03:00,17.1256882352941,15.901940625,14.9829290322581,17.4118,18.5098,16.9364454545455,17.4925757575758,19.1373,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3694.66666666667,0.09088397,2.92297033333333,122.469226666667,6.93720966666667,17.7125,16.2365,12.775,18.64,17.641,14.792,18.4495,18.39,31.2695,30.6245,37.2775,29.591,30.1185,35.0355,29.3125,30.4595,70.95,82.8,74.9,74.9,43.4,102.45,173.45,98.55,1333.25,1320.375,1338.875,1333.25,1346.75,1314.75,1370.25,1348
2009-03-01 13:08:00,17.2631578947368,16.1854,14.94904,17.3257580645161,18.5098,16.9412,17.740209375,19.01178,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3698.66666666667,0.0865168655172414,2.93770379310345,123.700182758621,7.08131413793103,17.9265,16.4865,12.751,18.5565,17.57,14.924,18.6875,18.295,31.0455,30.4555,37.292,29.654,30.199,34.93,29.1045,30.538,90.7,102.45,67,74.9,63.05,110.35,149.8,94.6,1333.25,1332,1338.875,1332.625,1346.75,1314.75,1346.75,1323.5
2009-03-01 13:13:00,17.4118,16.406859375,14.9072266666667,17.2549,18.5098,17.0552363636364,17.9706,18.9804,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3700,0.0879272133333333,2.98044933333333,123.05111,6.671145,18.1285,16.7725,12.739,18.473,17.498,15.067,18.9605,18.2,30.8025,30.254,37.2905,29.7345,30.228,34.8085,28.8805,30.6175,86.7,86.7,63.05,63.05,63.05,98.55,173.45,90.65,1333.25,1332.625,1338.25,1332.625,1348,1327.125,1358.5,1335.75
2009-03-01 13:18:00,17.5593764705882,16.6417484848485,14.902,17.2498387096774,18.37382,17.098,18.1390454545455,18.84442,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3700,0.0883848133333333,3.05776,125.993080000000,6.70953133333333,18.307,17.0225,12.727,18.402,17.427,15.211,19.1865,18.1165,30.557,30.0145,37.3055,29.7985,30.2745,34.6365,28.671,30.697,70.95,90.65,59.1,55.15,67,102.5,169.5,110.35,1332.625,1332.625,1338.875,1333.25,1335.75,1314.75,1358.5,1347.375
2009-03-01 13:23:00,17.5882125,16.8270909090909,14.9072266666667,17.2549,18.3529,17.2168636363636,18.348009375,18.8235,1,1,1,0,0.5,1,1,0,0,0,0,0,0,0,0,0,3700,0.0791614620689655,3.16080172413793,127.156020689655,6.35272689655172,18.4735,17.2725,12.727,18.3425,17.3795,15.342,19.4245,18.0335,30.379,29.827,37.289,29.8975,30.3745,34.4965,28.478,30.7595,90.7,90.65,70.95,63.05,51.25,86.7,157.65,78.85,1333.25,1332.625,1339.5,1332.625,1348,1314.75,1346.75,1335.75
2009-03-01 13:28:00,,17.0049,14.902,17.1992258064516,18.30586,17.2549,18.5294125,18.7032866666667,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3409.03225806452,0.0763819266666667,3.20983833333333,122.972793333333,7.13265566666667,18.604,17.5105,12.703,18.283,17.308,15.4735,19.6265,17.962,30.216,29.603,37.3365,30.0325,30.49,34.3055,28.3005,30.9445,67,82.8,47.3,70.95,55.15,94.6,137.95,90.7,1333.25,1332.625,1338.875,1332,1346.125,1314.75,1346.75,1348
2009-03-01 13:33:00,17.7255,17.1883363636364,14.902,17.11892,18.0987137931034,17.3452363636364,18.6714515151515,18.52026,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3365.51724137931,0.0714055172413793,3.26235310344828,124.479741379310,6.75465620689655,18.5445,17.7245,12.703,18.283,17.32,15.581,19.8175,17.986,30.1585,29.3935,37.353,30.189,30.595,34.1455,28.1035,31.2755,67,78.85,59.15,63.05,51.25,78.85,126.15,67,1332.625,1333.25,1339.5,1332.625,1346.75,1314.75,1346.75,1335.75
