"time","T0","T1","T2","T3","T4","T5","T6","T7","H0","H1","H2","H3","H4","H5","H6","H7","S0","S1","S2","S3","S4","S5","S6","S7","P","G","Ta","Wd","Ws","HT0","HT1","HT2","HT3","HT4","HT5","HT6","HT7","HRelH0","HRelH1","HRelH2","HRelH3","HRelH4","HRelH5","HRelH6","HRelH7","HI0","HI1","HI2","HI3","HI4","HI5","HI6","HI7","HCo2_0","HCo2_1","HCo2_2","HCo2_3","HCo2_4","HCo2_5","HCo2_6","HCo2_7"
2009-02-16 23:53:45,19.9418258064516,19.8265090909091,20.4131066666667,20.2353,20.10455,20.1116818181818,20.0071272727273,19.8254354838710,0.8,1,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,,-0.00211194,-2.908935,94.0925466666667,2.07000633333333,19.9475,20.579,18.521,20.1145,19.4605,18.497,21.509,19.5435,26.661,24.6345,29.3885,27.8795,28.4285,28.2465,24.7715,29.156,11.8,19.7,43.4,27.6,19.7,23.65,43.4,31.55,1333.25,1321,1337,1345.625,1348,1314.75,1359.125,1348
2009-02-16 23:58:45,19.70717,19.897084375,20.3922,20.2353,20.0784,20.0403878787879,20.0735,19.9425066666667,1,1,0,0,0,0.1,0,0.9,0,0,0,0,0,0,0,0,,-0.00196628896551724,-3.09161965517241,87.4598586206897,1.73775517241379,19.7815,20.579,18.39,19.9715,19.2935,18.3185,21.581,19.722,26.844,24.6345,29.4825,28.0095,28.556,28.338,24.705,28.9415,23.65,15.75,35.5,27.6,27.6,23.65,35.5,23.65,1357.375,1321,1338.25,1357.375,1346.75,1314.75,1346.75,1335.75
2009-02-17 00:03:45,19.67579,20.0071272727273,20.25099,20.1948096774194,19.93728,19.9025818181818,19.9412,20.12547,1,0.5,0,0,0.9,1,0.8,0,0,0,0,0,0,0,0,0,,-0.001971144,-3.27463766666667,84.8379333333333,1.69753886666667,19.817,20.674,18.271,19.8055,19.139,18.1285,21.521,19.8885,26.882,24.587,29.5775,28.1025,28.7195,28.4635,24.6825,28.7795,27.6,19.7,35.5,23.65,23.65,27.6,23.65,35.5,1345,1308.75,1338.25,1358,1346.75,1314.75,1359.125,1335.75
2009-02-17 00:08:45,19.7647,20.0784,20.2353,20.0574933333333,19.7755206896552,19.7647,19.8027363636364,20.2353,1,0,0,0.1,1,1,1,0,0,0,0,0,0,0,0,0,,-0.002041542,-3.52895166666667,96.9550733333334,1.5768875,19.948,20.758,18.176,19.6865,19.02,17.962,21.3895,19.8885,26.7145,24.503,29.657,28.2345,28.903,28.5205,24.7455,28.7265,27.6,19.7,35.5,27.6,23.65,23.65,23.65,31.55,1332.625,1309.375,1339.5,1357.375,1346.75,1327.125,1358.5,1323.5
2009-02-17 00:13:45,19.8811096774194,19.9833696969697,20.16731,19.9266580645161,19.5398533333333,19.6743636363636,19.882375,20.1188903225806,1,0.6,0,0.9,1,1,1,0,0,0,0,0,0,0,0,0,,-0.00211194,-3.75143103448276,93.6961586206897,1.62888275862069,20.067,20.71,18.069,19.5435,19.044,17.891,21.378,19.7455,26.563,24.5175,29.7355,28.2935,28.993,28.55,24.7805,28.803,19.7,19.7,31.55,19.7,19.7,27.6,43.4,11.8,1333.25,1308.75,1337.625,1357.375,1346.75,1339.5,1358.5,1348
2009-02-17 00:18:45,19.9216,19.79411875,20.0784,19.7950677419355,19.451,19.6078,19.951,20.0679466666667,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,,-0.002041542,-3.96637033333333,91.66246,1.45229176666667,20.21,20.567,17.986,19.496,19.163,17.891,21.461,19.5435,26.432,24.5795,29.816,28.466,28.932,28.585,24.7685,28.945,27.6,11.8,23.65,27.6,27.6,27.6,39.45,35.5,1333.25,1321,1339.5,1345,1347.375,1314.75,1358.5,1348
2009-02-17 00:23:45,20.0418133333333,19.8455272727273,20.0632258064516,19.6735967741935,19.451,19.6078,20.0784,19.9320533333333,0.4,1,0.1,1,1,1,0,0.9,0,0,0,0,0,0,0,0,,-0.00211194,-4.18151833333333,99.1147066666667,1.4271458,20.317,20.543,17.891,19.5555,19.294,17.903,21.557,19.3175,26.279,24.614,29.878,28.4885,28.837,28.6035,24.703,29.12,27.6,15.75,31.55,19.7,19.7,23.65,39.45,27.6,1332.625,1320.375,1338.25,1356.75,1348,1327.125,1370.25,1348
2009-02-17 00:28:45,20.0784,19.9786181818182,19.9006733333333,19.6078,19.451,19.6078,19.9951,19.70194,0,0.7,0.9,1,1,1,0.5,1,0,0,0,0,0,0,0,0,,-0.00196628896551724,-4.41124241379310,89.3235379310345,1.31299565517241,20.341,20.6385,17.8195,19.6865,19.4485,17.95,21.569,19.175,26.192,24.5305,29.942,28.3755,28.6735,28.6075,24.632,29.3715,23.65,19.7,35.5,31.55,27.6,19.7,43.4,31.55,1333.25,1332.625,1338.25,1345,1347.375,1314.75,1358.5,1335.75
2009-02-17 00:33:45,20.0227612903226,20.0784,19.65487,19.622509375,19.451,19.6078,19.906890625,19.6078,0.2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,-0.00211194,-4.51772233333333,98.8373966666667,1.359403,20.1625,20.758,17.843,19.829,19.5675,17.998,21.461,19.2105,26.2855,24.449,30.083,28.2455,28.5425,28.558,24.6605,29.4445,27.6,19.7,35.5,27.6,27.6,27.6,27.6,11.8,1333.25,1321,1338.25,1356.75,1346.75,1314.75,1358.5,1348
2009-02-17 00:38:45,19.84838,19.9853,19.6078,19.7545774193548,19.451,19.6078,19.9025818181818,19.66533,1,0.6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,-0.001971144,-4.54365933333333,79.63295,1.33240773333333,19.9005,20.722,18.0455,19.9955,19.71,18.045,21.413,19.3655,26.48,24.4285,29.995,28.1175,28.395,28.5445,24.711,29.2995,27.6,19.7,31.55,27.6,23.65,23.65,27.6,19.7,1332.625,1308.75,1337.625,1345.625,1348,1314.75,1359.125,1335.75
